"Avg_Slope","K_final","MeanSlope30m","PercentForestedLand","MEAN","PM_rank","Culvert_Count","Surface","StreamCros","HYDROGROUP","PARENT","Mean_TopoConvergence_50m","damaged"
4.95444999,0.49,3.082570551,0,1.889603201,4,0,"Unpaved","No","D","GL",6.85589328765869,"No"
3.68494796,0.49,2.312987542,0,1.868395261,4,0,"Unpaved","No","D","GL",7.83241227660516,"No"
2.74816521,0.49,1.622721736,0,1.84678679,4,0,"Unpaved","No","D","GL",7.6308361530304,"No"
2.86231506,0.49,1.907945233,0,1.824649049,4,0,"Unpaved","No","D","GL",7.93820918560028,"No"
2.36140167,0.49,2.805645649,0,1.803920322,4,1,"Unpaved","No","D","GL",7.18434410435813,"No"
5.83925087,0.17,3.445237098,0,2.503557178,4,0,"Unpaved","No","C","GL",7.19534779568108,"No"
2.58000277,0.17,1.590759555,0,2.494874167,4,1,"Unpaved","No","C","GL",8.08465577125549,"No"
1.78618753,0.15,1.119847881,0,2.486473838,4,0,"Unpaved","No","C/D","GL",8.49312702178955,"No"
1.4187487,0.49,0.928650276,0,2.478367293,4,2,"Unpaved","Yes","D","GL",9.1905558904012,"No"
1.40464833,0.49,0.900274581,0,2.471412951,4,0,"Unpaved","No","D","GL",7.96607819470492,"No"
4.08006027,0.49,2.152848434,0,1.965233287,4,0,"Unpaved","No","D","GL",7.02807149792662,"No"
4.39820541,0.49,3.286296338,0,1.953166607,4,0,"Unpaved","No","D","GL",6.55919075484323,"No"
5.644371,0.49,3.74876622,0,1.941054812,4,1,"Unpaved","No","D","GL",6.95735753059387,"No"
5.93437837,0.49,3.488728976,0,1.928932049,4,0,"Unpaved","No","D","GL",7.14591832637787,"No"
7.03096149,0.49,5.262918125,0.380952381,1.916725082,4,0,"Unpaved","No","D","GL",6.25982581034746,"No"
8.20304773,0.49,5.601432619,0.111111111,1.907642656,4,1,"Unpaved","No","D","GL",6.51897387919219,"No"
2.91395823,0.49,5.126905223,0,3.540699409,4,1,"Unpaved","No","D","GL",6.10184820989768,"No"
7.43826069,0.55,9.808512556,0.95,5.638252055,5,0,"Unpaved","No","C","GT",5.58549009799957,"No"
15.36506103,0.55,10.09225337,0.944444444,5.607054553,5,0,"Unpaved","No","C","GT",6.13872013670026,"No"
12.90377564,0.55,13.45139278,0.95,5.56247731,5,0,"Unpaved","No","D","GT",5.78344376881917,"No"
6.5667676,0.55,6.138077625,0.947368421,5.628229503,5,0,"Unpaved","No","C","GT",6.75918693905291,"No"
7.50643511,0.55,8.121814241,1,5.631301639,5,0,"Unpaved","No","C","GT",5.48062480579723,"No"
7.11118002,0.55,12.0861793,1,5.646338123,5,0,"Unpaved","No","C","GT",5.68784879469404,"No"
6.65012318,0.55,8.665153968,1,5.66612395,5,0,"Unpaved","No","C","GT",6.17921950817108,"No"
7.97427785,0.55,11.28138881,1,5.697985957,5,0,"Unpaved","No","C","GT",6.06273861605711,"No"
5.99626207,0.55,12.77670321,1,5.730760711,5,0,"Unpaved","Yes","C","GT",6.26006884149986,"No"
11.41517632,0.55,18.02494016,1,5.749443682,5,0,"Unpaved","Yes","C","GT",5.62508193016052,"No"
7.47968657,0.55,19.32485533,1,5.754387196,5,0,"Unpaved","Yes","C","GT",5.79548080680297,"No"
7.93685524,0.55,16.91677239,1,5.737247498,5,0,"Unpaved","No","C","GT",6.01981144091662,"No"
5.22103149,0.32,2.23891707,0.55,6.003791338,5,0,"Unpaved","Yes","B","GT",7.02675078131936,"No"
9.07027917,0.55,4.388758532,0.736842105,5.872240525,5,0,"Unpaved","No","C","GT",6.51483859919538,"No"
8.51476908,0.55,4.716138391,0.75,5.853594007,5,0,"Unpaved","No","C","GT",6.93300628185272,"No"
7.07671772,0.55,4.76947933,0.19047619,5.840439737,5,0,"Unpaved","No","C","GT",7.0029887843132,"No"
8.97003758,0.55,6.311315008,0,5.831958021,5,0,"Unpaved","No","C","GT",6.13543940507449,"No"
8.09180429,0.55,2.588172606,0.315789474,6.007535183,5,0,"Unpaved","No","D","DT/GT",7.27682869107116,"No"
7.92822893,0.49,5.524732687,0.85,6.006410974,3,0,"Unpaved","No","D","DT",6.65719859838486,"No"
6.8240385,0.55,5.339105516,0.736842105,6.000338264,5,0,"Unpaved","No","D","DT/GT",6.52968234967704,"No"
6.96497574,0.37,3.324366879,1,5.988166244,3,0,"Unpaved","No","C/D","DT",6.85306440353394,"No"
9.83523136,0.37,7.131480882,1,5.972095496,3,0,"Unpaved","No","C/D","DT",6.18417503810165,"No"
12.26432454,0.37,7.69786184,0.956521739,5.950914432,3,0,"Unpaved","No","C/D","DT",5.61616014265547,"No"
7.07099219,0.37,3.455650297,0.894736842,5.921695799,3,0,"Unpaved","No","C/D","DT",6.08031321988248,"No"
6.84308154,0.55,3.04064456,0.391304348,5.894761043,5,0,"Unpaved","No","C","GT",6.46446086846146,"No"
7.8768221,0.24,13.38517908,0.842105263,6.019060981,6,0,"Unpaved","No","A","GF",5.72561663150787,"No"
4.57505987,0.49,10.98380179,1,6.345180804,3,0,"Unpaved","No","C","DT",6.50600858726124,"No"
6.03089,0.1,4.611986274,1,6.352652773,6,0,"Unpaved","No","A","GF",5.92578036714308,"No"
6.68586111,0.1,6.122194146,1,6.324499473,6,0,"Unpaved","No","A","GF",5.94922636236463,"No"
7.51161079,0.1,4.903489891,1,6.302634286,6,0,"Unpaved","No","A","GF",6.76306916475296,"No"
10.26580667,0.1,7.828570144,0.65,6.274806959,6,0,"Unpaved","Yes","A","GF",6.87487351164526,"No"
9.91582366,0.55,7.133635058,1,6.22159154,7,0,"Unpaved","No","A","A",5.86819786310196,"No"
6.50676373,0.55,10.65405054,1,6.23080996,5,0,"Unpaved","No","C","GT",5.71552550674665,"No"
4.53155824,0.1,8.699931395,1,6.268561912,6,0,"Unpaved","No","A","GF",5.95931532859802,"No"
3.16938933,0.24,12.76369439,0.857142857,6.027137886,6,1,"Unpaved","No","A","GF",6.9776977794339,"No"
4.2512035,0.1,7.460885581,1,6.313506615,6,0,"Unpaved","No","A","GF",6.82570282775577,"No"
10.24310179,0.1,6.862512305,1,6.35505503,6,0,"Unpaved","No","A","GF",6.60820144176483,"No"
5.76366982,0.43,5.052006764,1,6.349791789,6,0,"Unpaved","Yes","A/D","GF",7.8427214217186,"No"
7.05746711,0.24,7.261279914,1,6.33864872,6,0,"Unpaved","No","A","GF",6.7610976266861,"No"
5.22295563,0.24,9.014867567,0.947368421,6.307832548,6,0,"Unpaved","No","A","GF",6.26460644778083,"No"
4.87567629,0.1,11.15644365,1,6.269766861,6,0,"Unpaved","No","A","GF",5.31780395215871,"No"
5.36105618,0.55,6.194705939,1,6.042200236,5,0,"Unpaved","No","D","DT/GT",6.38594468985454,"No"
8.65631848,0.24,12.00933085,1,6.08860438,6,0,"Unpaved","No","A","GF",6.26337426535937,"No"
8.13535419,0.24,8.056330481,1,6.134786236,6,0,"Unpaved","No","A","GF",5.56435189701262,"No"
2.74570839,0.37,10.29223245,1,6.174435896,3,0,"Unpaved","No","C/D","DT",6.30023847794046,"No"
